paper,nombre
http://dblp.l3s.de/d2r/resource/publications/conf/brain/YangFIYLWHLZ16,Gang_Wang|Ning_Zhong_0001|Yang_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/brain/YangHIYLWFHLZ15,Gang_Wang|Ning_Zhong_0001|Yang_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/brain/YangTYILWHLZ14,Gang_Wang|Ning_Zhong_0001|Yang_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/BarolliOBSXT13,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/BarolliOBXTL14,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/BarolliOIBXT16,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/BarolliOMIBT15,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/BarolliOSBXT12,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/BarolliOSXBT11,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/BarolliTXB10,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/ChangSOIBX14,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/HiyamaIBKXD10,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/IkedaHKBT11,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/IkedaKHBT10,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/KullaHIBUT12,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/KullaSIBXK13,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/KullaSXBT12,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/LiuOMBX16,Fatos_Xhafa|Leonard_Barolli|Yi_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/LiuSBIX14,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda|Yi_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/LiuSBSIX15,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda|Yi_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/MatsuoOBIBX16,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/OdaBOBXT16,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/OdaSBIBX14,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/SakamotoKOBIX13,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/bwcca/SakamotoOIBCX14,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
